id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2610, Egyptian Lentil Soup, water, 3, cups, , 0.0, 0.0, 0.0, 0.0, , , 
2619, Koshary, french onion, 1, can, fried, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2614, Dukkah, hazelnut, 2/3, cup, , 212.8, 32.0, 0.0, 10.672, , , 
2614, Dukkah, sesame seed, 1/2, cup, , 684.0, 31.428, 21.372, 57.6, , , 
2614, Dukkah, coriander seed, 2, tablespoons, , 29.8, 5.499, 1.237, 1.777, , , 
2614, Dukkah, cumin seed, 2, tablespoons, , 45.0, 5.3088, 2.1372, 2.6724, , , 
2614, Dukkah, black pepper, 2, tablespoons, ground, 34.638000000000005, 8.8251, 1.4338, 0.4499, , , 
2614, Dukkah, sea salt, 1, teaspoon, flaked, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2620, Egyptian Wheat Porridge (Belila), water, 6, cups, divided, 0.0, 0.0, 0.0, 0.0, , , 
2620, Egyptian Wheat Porridge (Belila), wheat berry, 1, cup, , -, -, -, -, , , 
2620, Egyptian Wheat Porridge (Belila), milk, 1/4, cup, , 37.21, 2.9158, 1.9215, 1.9947, , , 
2620, Egyptian Wheat Porridge (Belila), almond, 1/4, cup, , 481.78, 0.0, 0.0, 54.5, , , 
2620, Egyptian Wheat Porridge (Belila), cinnamon, 1/2, teaspoon, ground, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2621, Fava Beans in Tahini Sauce, olive oil, 1, tablespoon, , 119.34, 0.0, 0.0, 13.5, , , 
2621, Fava Beans in Tahini Sauce, onion, 1, , chopped, 44.0, 10.274000000000001, 1.21, 0.11, , , 
2621, Fava Beans in Tahini Sauce, fava bean, 1, can, drained, 766.8666, 131.08700000000002, 58.7406, 3.4408, , , 
2621, Fava Beans in Tahini Sauce, lemon, 1, , juiced, 1.1183, 0.3508, 0.0178, 0.0122, , , 
2621, Fava Beans in Tahini Sauce, tahini, 1/3, cup, , 456.0, 20.951999999999998, 14.248, 38.4, , , 
2621, Fava Beans in Tahini Sauce, garlic, 5, cloves, crushed, 22.35, 4.959, 0.9540000000000001, 0.075, , , 
2621, Fava Beans in Tahini Sauce, salt pepper, to taste, , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2617, Couscous with Olives and Sun-Dried Tomato, vegetable broth, 1 1/4, cups, , 202.95, 32.9025, 7.4415, 4.797, , , 
2617, Couscous with Olives and Sun-Dried Tomato, water, 1 1/4, cups, , 0.0, 0.0, 0.0, 0.0, , , 
2617, Couscous with Olives and Sun-Dried Tomato, pearl couscous, 2, cups, , -, -, -, -, , , 
2617, Couscous with Olives and Sun-Dried Tomato, salt, 1, pinch, , -, -, -, -, , , 
2617, Couscous with Olives and Sun-Dried Tomato, black pepper, 1, pinch, ground, 0.3608, 0.0919, 0.0149, 0.0047, , , 
2617, Couscous with Olives and Sun-Dried Tomato, olive oil, 5, tablespoons, divided, 596.7, 0.0, 0.0, 67.5, , , 
2617, Couscous with Olives and Sun-Dried Tomato, pine nut, 1/2, cup, , 454.275, 8.829, 9.2407, 46.1498, , , 
2617, Couscous with Olives and Sun-Dried Tomato, garlic, 4, cloves, minced, 17.88, 3.9672, 0.7632, 0.06, , , 
2617, Couscous with Olives and Sun-Dried Tomato, shallot, 1, , minced, 115.2, 26.88, 4.0, 0.16, , , 
2617, Couscous with Olives and Sun-Dried Tomato, black olive, 1/2, cup, sliced, -, -, -, -, , , 
2617, Couscous with Olives and Sun-Dried Tomato, tomato oil, 1/3, cup, sun-dried drained chopped packed, 82.5, 15.0084, 2.1582, 1.5708, , , 
2617, Couscous with Olives and Sun-Dried Tomato, vegetable broth, 1, cup, , 202.95, 32.9025, 7.4415, 4.797, , , 
2617, Couscous with Olives and Sun-Dried Tomato, flat leaf parsley, 1/4, cup, chopped, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), chicken broth, 4, cups, , 312.48, 7.56, 44.5536, 10.4832, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), white rice, 2, tablespoons, , 84.4062, 18.4884, 1.6488, 0.1526, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), butter, 1, tablespoon, , 85.5, 3.9285, 2.6715, 7.2, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), sunflower seed oil, 1/3, cup, , 266.4, 10.3005, 9.027000000000001, 23.085, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), onion, 2, , chopped, 128.0, 29.888, 3.52, 0.32, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), yogurt, 1, container, , 103.7, 7.922000000000001, 5.899, 5.525, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), lemon juice, 2, tablespoons, , 6.71, 2.1045, 0.1067, 0.0732, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), salt, to taste, , , -, -, -, -, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), purpose flour, 2, tablespoons, , -, -, -, -, , , 
2616, Rice Pudding with Lemon Juice and Caramelized Onion (Egyptian Kishk), pine nut, 1, tablespoon, toasted, 56.7844, 1.1036, 1.1551, 5.7687, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2622, Egyptian Feta Cheese Omelet Roll, egg, 4, , beaten, 286.0, 1.44, 25.12, 19.02, , , 
2622, Egyptian Feta Cheese Omelet Roll, black pepper, 1/2, teaspoon, , 2.8865, 0.7354, 0.1195, 0.0375, , , 
2622, Egyptian Feta Cheese Omelet Roll, feta cheese, 3, tablespoons, crumbled, 74.25, 1.1503, 3.9966, 5.985, , , 
2622, Egyptian Feta Cheese Omelet Roll, milk, 1, teaspoon, , 3.1008, 0.243, 0.1601, 0.1662, , , 
2622, Egyptian Feta Cheese Omelet Roll, vegetable oil, 1, tablespoon, , 117.23200000000001, 0.0, 0.0, 13.6, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2612, Egyptian Bamia, olive oil, 1/4, cup, , 477.36, 0.0, 0.0, 54.0, , , 
2612, Egyptian Bamia, onion, 1, , chopped, 60.0, 14.01, 1.65, 0.15, , , 
2612, Egyptian Bamia, lamb shoulder, 1, pound, boneless cut, 1139.0426, 0.904, 76.3882, 92.0274, , , 
2612, Egyptian Bamia, salt black pepper, to taste, , ground, -, -, -, -, , , 
2612, Egyptian Bamia, tomato sauce, 1, can, , -, -, -, -, , , 
2612, Egyptian Bamia, water, 2, cups, , 0.0, 0.0, 0.0, 0.0, , , 
2612, Egyptian Bamia, okra, 1, package, thawed, 86.3636, 19.0864, 4.8652, 0.7197, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2623, Quick and Easy Egyptian Chicken Broth, chicken giblet, 1, , quartered, 965.6022, 0.5893, 83.0962, 67.2295, , , 
2623, Quick and Easy Egyptian Chicken Broth, salt black pepper, to taste, , ground, -, -, -, -, , , 
2623, Quick and Easy Egyptian Chicken Broth, butter, 2, tablespoons, clarified, 171.0, 7.857, 5.343, 14.4, , , 
2623, Quick and Easy Egyptian Chicken Broth, onion, 1, , trimmed, 64.0, 14.944, 1.76, 0.16, , , 
2623, Quick and Easy Egyptian Chicken Broth, clove, 4, , , 23.016, 5.5045, 0.5015, 1.092, , , 
2623, Quick and Easy Egyptian Chicken Broth, cardamom pod, 4, , , -, -, -, -, , , 
2623, Quick and Easy Egyptian Chicken Broth, bay leaf, 1, , , -, -, -, -, , , 
2623, Quick and Easy Egyptian Chicken Broth, water, 1, quart, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2613, Magpie's Easy Falafel Cakes, onion, 1/2, , minced, 14.0, 3.2689999999999997, 0.385, 0.035, , , 
2613, Magpie's Easy Falafel Cakes, olive oil, 1 1/2, teaspoons, , 238.68, 0.0, 0.0, 27.0, , , 
2613, Magpie's Easy Falafel Cakes, garbanzo bean, 1, can, rinsed drained, 1133.4333, 188.7556, 61.3793, 18.1109, , , 
2613, Magpie's Easy Falafel Cakes, cream, 1/3, cup, sour, 151.8, 3.5497, 1.8707, 14.835, , , 
2613, Magpie's Easy Falafel Cakes, cornmeal, 2, tablespoons, , 110.41, 23.4514, 2.4766, 1.0949, , , 
2613, Magpie's Easy Falafel Cakes, garlic, 4, cloves, minced, 17.88, 3.9672, 0.7632, 0.06, , , 
2613, Magpie's Easy Falafel Cakes, cumin, 1, teaspoon, ground, 7.875, 0.929, 0.374, 0.4677, , , 
2613, Magpie's Easy Falafel Cakes, coriander, 1, teaspoon, ground, 5.364, 0.9898, 0.2227, 0.3199, , , 
2613, Magpie's Easy Falafel Cakes, salt, 1/2, teaspoon, , -, -, -, -, , , 
2613, Magpie's Easy Falafel Cakes, sauce, 3/4, teaspoon, , 7.3875, 0.2055, 0.3874, 0.5595, , , 
2613, Magpie's Easy Falafel Cakes, cornmeal, 1/4, cup, , 110.41, 23.4514, 2.4766, 1.0949, , , 
2613, Magpie's Easy Falafel Cakes, olive oil, 2, tablespoons, , 238.68, 0.0, 0.0, 27.0, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2611, Egyptian Green Beans with Carrots, vegetable oil, 1, tablespoon, , 117.23200000000001, 0.0, 0.0, 13.6, , , 
2611, Egyptian Green Beans with Carrots, onion, 1, , diced, 60.0, 14.01, 1.65, 0.15, , , 
2611, Egyptian Green Beans with Carrots, tomato paste, 2, tablespoons, , 26.24, 6.0512, 1.3824, 0.1504, , , 
2611, Egyptian Green Beans with Carrots, garlic, 2, cloves, sliced, 8.94, 1.9836, 0.3816, 0.03, , , 
2611, Egyptian Green Beans with Carrots, chicken stock, 2, cups, boiling, 172.8, 16.944000000000003, 12.095999999999998, 5.76, , , 
2611, Egyptian Green Beans with Carrots, cardamom, 1/4, teaspoon, ground, 1.555, 0.3424, 0.0538, 0.0335, , , 
2611, Egyptian Green Beans with Carrots, bay leaf, 1, , , -, -, -, -, , , 
2611, Egyptian Green Beans with Carrots, salt black pepper, to taste, , ground, -, -, -, -, , , 
2611, Egyptian Green Beans with Carrots, green bean carrot, 1, package, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2615, Om Ali, puff pastry, 1, package, thawed, -, -, -, -, , , 
2615, Om Ali, walnut, 1/2, cup, chopped, 963.56, 0.0, 0.0, 109.0, , , 
2615, Om Ali, pecan, 1, cup, chopped, 286.3467, 53.663999999999994, 5.8933, 6.032, , , 
2615, Om Ali, hazelnut, 1, cup, chopped, 319.2, 48.0, 0.0, 16.008, , , 
2615, Om Ali, raisin, 1, cup, , 498.3, 131.208, 5.5935, 0.759, , , 
2615, Om Ali, coconut, 1, cup, flaked, 283.2, 12.184000000000001, 2.6639999999999997, 26.791999999999998, , , 
2615, Om Ali, white sugar, 1 1/4, cups, divided, 967.5, 249.95, 0.0, 0.0, , , 
2615, Om Ali, milk, 4, cups, , 595.36, 46.6528, 30.744, 31.9152, , , 
2615, Om Ali, heavy cream, 1/2, cup, , 204.0, 1.6440000000000001, 1.704, 21.648000000000003, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2628, Umm Ali, puff pastry, 1, package, thawed, -, -, -, -, , , 
2628, Umm Ali, milk, 5, cups, , 744.2, 58.316, 38.43, 39.894, , , 
2628, Umm Ali, white sugar, 1, cup, , 774.0, 199.96, 0.0, 0.0, , , 
2628, Umm Ali, vanilla extract, 1, teaspoon, , 12.095999999999998, 0.5313, 0.0025, 0.0025, , , 
2628, Umm Ali, raisin, 1/4, cup, , 124.575, 32.802, 1.3984, 0.1898, , , 
2628, Umm Ali, almond, 1/4, cup, slivered, 481.78, 0.0, 0.0, 54.5, , , 
2628, Umm Ali, pine nut, 1/4, cup, , 227.1375, 4.4145, 4.6204, 23.0749, , , 
2628, Umm Ali, pistachio nut, 1/4, cup, chopped, 172.2, 8.3548, 6.1992, 13.9359, , , 
2628, Umm Ali, coconut, 1/4, cup, sweetened flaked, 70.8, 3.0460000000000003, 0.6659999999999999, 6.6979999999999995, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2626, Egyptian Rose Leaves, shortening, 1/3, cup, , 604.0667, 0.0, 0.0, 68.3333, , , 
2626, Egyptian Rose Leaves, white sugar, 1, cup, , 774.0, 199.96, 0.0, 0.0, , , 
2626, Egyptian Rose Leaves, egg, 2, , , 143.0, 0.72, 12.56, 9.51, , , 
2626, Egyptian Rose Leaves, rosewater, 1, teaspoon, , -, -, -, -, , , 
2626, Egyptian Rose Leaves, purpose flour, 2, cups, , -, -, -, -, , , 
2626, Egyptian Rose Leaves, salt, 1/4, teaspoon, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2631, Ta'ameya (Egyptian Falafel), fava bean, 2, cups, split, 1023.0, 174.87, 78.36, 4.59, , , 
2631, Ta'ameya (Egyptian Falafel), red onion, 1, , quartered, 64.0, 14.944, 1.76, 0.16, , , 
2631, Ta'ameya (Egyptian Falafel), parsley, 1/2, cup, , 10.8, 1.899, 0.8909999999999999, 0.237, , , 
2631, Ta'ameya (Egyptian Falafel), cilantro, 1/2, cup, , 1.84, 0.2936, 0.1704, 0.0416, , , 
2631, Ta'ameya (Egyptian Falafel), dill, 1/2, cup, , 153.72, 27.8057, 8.0539, 7.3282, , , 
2631, Ta'ameya (Egyptian Falafel), garlic, 3, cloves, , 13.41, 2.9754, 0.5724, 0.045, , , 
2631, Ta'ameya (Egyptian Falafel), coriander, 1 1/2, teaspoons, ground, 8.046, 1.4847, 0.33399999999999996, 0.4798, , , 
2631, Ta'ameya (Egyptian Falafel), salt, 1, 1/2 teaspoons, , -, -, -, -, , , 
2631, Ta'ameya (Egyptian Falafel), cumin, 1, teaspoon, ground, 7.875, 0.929, 0.374, 0.4677, , , 
2631, Ta'ameya (Egyptian Falafel), sesame seed, 1, cup, , 1368.0, 62.856, 42.744, 115.2, , , 
2631, Ta'ameya (Egyptian Falafel), vegetable oil, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2633, Fried Katayef (Egyptian Dessert), water, 1 1/2, cups, , 0.0, 0.0, 0.0, 0.0, , , 
2633, Fried Katayef (Egyptian Dessert), white sugar, 1, cup, , 774.0, 199.96, 0.0, 0.0, , , 
2633, Fried Katayef (Egyptian Dessert), lemon juice, 1, teaspoon, , 1.1183, 0.3508, 0.0178, 0.0122, , , 
2633, Fried Katayef (Egyptian Dessert), ricotta cheese, 1, container, , -, -, -, -, , , 
2633, Fried Katayef (Egyptian Dessert), cornstarch, 1, teaspoon, , 10.16, 2.4339, 0.0069, 0.0013, , , 
2633, Fried Katayef (Egyptian Dessert), purpose flour, 2 1/2, cups, , -, -, -, -, , , 
2633, Fried Katayef (Egyptian Dessert), yeast, 1, 1/2, , 11.1, 1.2252, 1.4328, 0.054000000000000006, , , 
2633, Fried Katayef (Egyptian Dessert), water, 3, cups, , 0.0, 0.0, 0.0, 0.0, , , 
2633, Fried Katayef (Egyptian Dessert), oil, 3, cups, , 5387.4, 0.0, 1.722, 611.802, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2624, Dukka, almond, 2/3, cup, chopped blanched, 1284.7467, 0.0, 0.0, 145.3333, , , 
2624, Dukka, sesame seed, 2, tablespoons, , 171.0, 7.857, 5.343, 14.4, , , 
2624, Dukka, red chile powder, 4, teaspoons, , 5.0, 1.1012, 0.2338, 0.055, , , 
2624, Dukka, turmeric, 2, teaspoons, ground, 18.72, 4.0284, 0.5808, 0.195, , , 
2624, Dukka, onion salt, 1, teaspoon, , -, -, -, -, , , 
2624, Dukka, celery salt, 1, teaspoon, , -, -, -, -, , , 
2624, Dukka, cumin seed, 1, teaspoon, , 7.875, 0.929, 0.374, 0.4677, , , 
2624, Dukka, coriander, 1, teaspoon, ground, 5.364, 0.9898, 0.2227, 0.3199, , , 
2624, Dukka, cayenne pepper, 1, pinch, ground, 0.3578, 0.0637, 0.0135, 0.0194, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2625, Balah el Sham (Egyptian Choux Pastry), water, 3, cups, divided, 0.0, 0.0, 0.0, 0.0, , , 
2625, Balah el Sham (Egyptian Choux Pastry), white sugar, 2, cups, divided, 1548.0, 399.92, 0.0, 0.0, , , 
2625, Balah el Sham (Egyptian Choux Pastry), lime, 1, , juiced, 1.2604, 0.4245, 0.0212, 0.0035, , , 
2625, Balah el Sham (Egyptian Choux Pastry), vanilla extract, 2, teaspoons, divided, 24.191999999999997, 1.0626, 0.005, 0.005, , , 
2625, Balah el Sham (Egyptian Choux Pastry), vegetable oil, 2 1/2, cups, , 4697.9, 0.0, 0.0, 545.0, , , 
2625, Balah el Sham (Egyptian Choux Pastry), salt, 1/2, teaspoon, , -, -, -, -, , , 
2625, Balah el Sham (Egyptian Choux Pastry), purpose flour, 1, cup, , -, -, -, -, , , 
2625, Balah el Sham (Egyptian Choux Pastry), egg, 4, , , 286.0, 1.44, 25.12, 19.02, , , 
2625, Balah el Sham (Egyptian Choux Pastry), corn oil, 2, cups, , 3924.0, 0.0, 0.0, 436.0, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2627, Kofta, beef, 1, pound, ground, 898.1139999999999, 0.0, 88.0877, 57.7424, , , 
2627, Kofta, onion, 1, , diced, 64.0, 14.944, 1.76, 0.16, , , 
2627, Kofta, egg yolk, 1, , , 54.74, 0.6103, 2.6962, 4.5118, , , 
2627, Kofta, oregano, 2, tablespoons, chopped, 15.9, 4.1352, 0.54, 0.2568, , , 
2627, Kofta, salt pepper, to taste, , , -, -, -, -, , , 
2627, Kofta, bamboo skewer, 1, , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2632, Egyptian Koshary, vegetable oil, 1, tablespoon, , 117.23200000000001, 0.0, 0.0, 13.6, , , 
2632, Egyptian Koshary, white rice, 2, cups, uncooked, 1350.5, 295.815, 26.381, 2.4419999999999997, , , 
2632, Egyptian Koshary, water, 3, cups, , 0.0, 0.0, 0.0, 0.0, , , 
2632, Egyptian Koshary, salt, 1, teaspoon, , -, -, -, -, , , 
2632, Egyptian Koshary, elbow macaroni, 1, package, uncooked, -, -, -, -, , , 
2632, Egyptian Koshary, beluga lentil, 1, cup, , -, -, -, -, , , 
2632, Egyptian Koshary, salt, 1/2, teaspoon, , -, -, -, -, , , 
2632, Egyptian Koshary, vegetable oil, 1, tablespoon, , 117.23200000000001, 0.0, 0.0, 13.6, , , 
2632, Egyptian Koshary, onion, 5, , minced, 320.0, 74.72, 8.8, 0.8, , , 
2632, Egyptian Koshary, garlic, 2, cloves, minced, 8.94, 1.9836, 0.3816, 0.03, , , 
2632, Egyptian Koshary, white vinegar, 3, tablespoons, distilled, 8.046, 0.0179, 0.0, 0.0, , , 
2632, Egyptian Koshary, tomato, 4, , ripe diced, 248.2759, 55.0525, 12.9535, 2.1589, , , 
2632, Egyptian Koshary, tomato paste, 1/2, cup, , 108.24, 24.9612, 5.7024, 0.6204, , , 
2632, Egyptian Koshary, salt, 1, 1/2 teaspoons, , -, -, -, -, , , 
2632, Egyptian Koshary, black pepper, 1, teaspoon, ground, 5.773, 1.4708, 0.239, 0.075, , , 
2632, Egyptian Koshary, cumin, 2 1/2, teaspoons, ground, 19.6875, 2.3226, 0.935, 1.1692, , , 
2632, Egyptian Koshary, cayenne pepper, 1/4, teaspoon, , 1.431, 0.2548, 0.054000000000000006, 0.0777, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2629, Egyptian Koshari, brown lentil, 3/4, cup, , -, -, -, -, , , 
2629, Egyptian Koshari, water, 4, cups, , 0.0, 0.0, 0.0, 0.0, , , 
2629, Egyptian Koshari, grain rice, 3/4, cup, uncooked, 506.4375, 110.9306, 9.8929, 0.9158, , , 
2629, Egyptian Koshari, elbow macaroni, 1, cup, , -, -, -, -, , , 
2629, Egyptian Koshari, vegetable oil, 2, tablespoons, , 234.46400000000003, 0.0, 0.0, 27.2, , , 
2629, Egyptian Koshari, onion, 2, , chopped, 120.0, 28.02, 3.3, 0.3, , , 
2629, Egyptian Koshari, garlic, 4, cloves, minced, 17.88, 3.9672, 0.7632, 0.06, , , 
2629, Egyptian Koshari, tomato, 1, can, diced, 40.2099, 8.6898, 1.9658, 0.4468, , , 
2629, Egyptian Koshari, red pepper flake, 1/4, teaspoon, , -, -, -, -, , , 
2629, Egyptian Koshari, salt pepper, to taste, , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2630, Saboob (Egyptian Flatbread), purpose flour, 2, cups, , -, -, -, -, , , 
2630, Saboob (Egyptian Flatbread), salt, 1, teaspoon, , -, -, -, -, , , 
2630, Saboob (Egyptian Flatbread), milk, 3/4, cup, , 111.63, 8.7474, 5.7645, 5.9841, , , 
2630, Saboob (Egyptian Flatbread), olive oil, 1, tablespoon, , 119.34, 0.0, 0.0, 13.5, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2634, The Perfect Egyptian Rice with Vermicelli, olive oil, 1 1/2, tablespoons, , 179.01, 0.0, 0.0, 20.25, , , 
2634, The Perfect Egyptian Rice with Vermicelli, vermicelli, 1/4, cup, , 150.5105, 31.8679, 4.4733, 0.555, , , 
2634, The Perfect Egyptian Rice with Vermicelli, egyptian rice, 1, cup, , -, -, -, -, , , 
2634, The Perfect Egyptian Rice with Vermicelli, salt, to taste, , , -, -, -, -, , , 
2634, The Perfect Egyptian Rice with Vermicelli, water, 1 3/4, cups, , 0.0, 0.0, 0.0, 0.0, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
2635, Egyptian Meatballs, leek, 2, pounds, trimmed, 553.3833, 128.3668, 13.6078, 2.7216, , , 
2635, Egyptian Meatballs, beef, 1, pound, ground, 898.1139999999999, 0.0, 88.0877, 57.7424, , , 
