id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147200, Deep Fried Mozzarella Cheese Sticks, mozzarella cheese, 16, ounces, , 1469.6377, 123.4677, 61.5071, 81.0569, , , 
147209, Flourless Chocolate Chunk Cookies, chocolate chunk, 1, cup, good semisweet, -, -, -, -, , , 
147209, Flourless Chocolate Chunk Cookies, vanilla, 1, teaspoon, , 12.095999999999998, 0.5313, 0.0025, 0.0025, , , 
147209, Flourless Chocolate Chunk Cookies, cinnamon, 1, teaspoon, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147206, Sardine Sandwich Butter, butter, 1/4, , sweet, 21.375, 0.9821, 0.6679, 1.8, , , 
147206, Sardine Sandwich Butter, sardine, 2, tablespoons, mashed boneless, 245.34400000000002, 0.0, 0.0, 27.2, , , 
147206, Sardine Sandwich Butter, lemon juice, 1, dash, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147202, Leek & Potato Soup, bacon, 1, slice, , 116.76, 0.3584, 3.5336, 11.1132, , , 
147202, Leek & Potato Soup, butter, 1, ounce, , 161.595, 7.4249, 5.0491, 13.607999999999999, , , 
147202, Leek & Potato Soup, potato, 1, , , -, -, -, -, , , 
147202, Leek & Potato Soup, leek, 2, , , -, -, -, -, , , 
147202, Leek & Potato Soup, chicken stock, 3, cups, , 259.2, 25.416, 18.144000000000002, 8.64, , , 
147202, Leek & Potato Soup, salt pepper, , , , -, -, -, -, , , 
147202, Leek & Potato Soup, milk, 1/2, cup, , 74.42, 5.8316, 3.843, 3.9894, , , 
147202, Leek & Potato Soup, cheese, 1/2, cup, grated, 238.275, 1.5795, 14.445, 19.3995, , , 
147202, Leek & Potato Soup, parsley, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147204, Gluten free Apple Cinnamon Muffins, sugar, 1/3, cup, , 268.66, 67.1987, 0.0, 0.0, , , 
147204, Gluten free Apple Cinnamon Muffins, rice flour, 1, cup, , 578.28, 126.6054, 9.401, 2.2436, , , 
147204, Gluten free Apple Cinnamon Muffins, baking powder, 1, teaspoon, , 2.438, 1.2742, 0.0, 0.0, , , 
147204, Gluten free Apple Cinnamon Muffins, salt, 3/4, teaspoon, , -, -, -, -, , , 
147204, Gluten free Apple Cinnamon Muffins, bicarbonate soda, 1/2, teaspoon, , -, -, -, -, , , 
147204, Gluten free Apple Cinnamon Muffins, egg, 2, , , 143.0, 0.72, 12.56, 9.51, , , 
147204, Gluten free Apple Cinnamon Muffins, canola oil, 3, tablespoons, , 371.28, 0.0, 0.0, 42.0, , , 
147204, Gluten free Apple Cinnamon Muffins, apple, 1, , grated, 65.0, 17.2625, 0.325, 0.2125, , , 
147204, Gluten free Apple Cinnamon Muffins, cinnamon, 1, teaspoon, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, pork tenderloin, 1, , , 544.0012, 0.0, 93.6135, 16.0027, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, blueberry, 1 1/2, 1/2, , 126.54, 32.1678, 1.6428, 0.7326, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, rhubarb, 1 1/2, cups, , 38.43, 8.3082, 1.6469999999999998, 0.366, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, water, 1/2, cup, , 0.0, 0.0, 0.0, 0.0, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, sugar, 2 -3, tablespoons, , 0.0, 0.0, 0.0, 0.0, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, salt, 1, pinch, , -, -, -, -, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, pepper, 1/2, teaspoon, , 2.8865, 0.7354, 0.1195, 0.0375, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, rosemary, 1, tablespoon, dried, 2.227, 0.3519, 0.0563, 0.0996, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, thyme, 1, tablespoon, dried, 2.424, 0.5868, 0.1334, 0.0403, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, butter, 1 -2, tablespoon, , 0.0, 0.0, 0.0, 0.0, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, white wine, 1 -2, tablespoon, , -, -, -, -, , , 
147201, Seared Pork Medallions With Saskatoon (Or Blueberry) and Rhubarb, canola oil, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147203, Maple Cranberry Chicken Breasts, purpose flour, 1/4, cup, , -, -, -, -, , , 
147203, Maple Cranberry Chicken Breasts, black pepper, 1/8, teaspoon, , 0.7216, 0.1839, 0.0299, 0.0094, , , 
147203, Maple Cranberry Chicken Breasts, rosemary, 1/8, teaspoon, dried, 0.1146, 0.0181, 0.0029, 0.0051, , , 
147203, Maple Cranberry Chicken Breasts, chicken breast, 4, boneless, skinless boneless, -, -, -, -, , , 
147203, Maple Cranberry Chicken Breasts, olive oil, 2, teaspoons, , 79.56, 0.0, 0.0, 9.0, , , 
147203, Maple Cranberry Chicken Breasts, garlic, 2, teaspoons, minced, 8.344, 1.8514, 0.3562, 0.027999999999999997, , , 
147203, Maple Cranberry Chicken Breasts, green onion, 3, , chopped, 57.51, 12.2262, 2.0661, 1.0011, , , 
147203, Maple Cranberry Chicken Breasts, white mushroom, 10, , sliced, 62.3689, 9.2419, 8.76, 0.9639, , , 
147203, Maple Cranberry Chicken Breasts, maple syrup, 1/2, cup, , 409.5, 105.588, 0.063, 0.0945, , , 
147203, Maple Cranberry Chicken Breasts, apple cider vinegar, 2, tablespoons, , -, -, -, -, , , 
147203, Maple Cranberry Chicken Breasts, water, 2, tablespoons, , 0.0, 0.0, 0.0, 0.0, , , 
147203, Maple Cranberry Chicken Breasts, cranberry, 1/4, cup, dried, 12.65, 3.2918, 0.1265, 0.0358, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147210, Cheese and Asparagus Rolls, cream cheese, 2, ounces, softened, 167.265, 1.9845, 4.0257, 16.2162, , , 
147210, Cheese and Asparagus Rolls, mayonnaise, 1/4, cup, , 209.38, 0.0, 0.2146, 23.2, , , 
147210, Cheese and Asparagus Rolls, cheddar cheese, 1/4, cup, grated old, -, -, -, -, , , 
147210, Cheese and Asparagus Rolls, egg yolk, 1, , , 54.74, 0.6103, 2.6962, 4.5118, , , 
147210, Cheese and Asparagus Rolls, lemon zest, 1/2, teaspoon, grated, -, -, -, -, , , 
147210, Cheese and Asparagus Rolls, white bread, 10, slices, , -, -, -, -, , , 
147210, Cheese and Asparagus Rolls, poppy seed, , , , -, -, -, -, , , 
147210, Cheese and Asparagus Rolls, asparagus, 20, , cooked, 1814.3716, 351.9881, 199.5809, 10.8862, , , 
147210, Cheese and Asparagus Rolls, butter, 2, tablespoons, melted, 171.0, 7.857, 5.343, 14.4, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147211, Sesame Chicken Salad, torn european salad green making, 1, package, , -, -, -, -, , , 
147211, Sesame Chicken Salad, chicken, 2, cups, shredded chopped cooked, -, -, -, -, , , 
147211, Sesame Chicken Salad, baby corn crosswise, 1, can, drained halved, -, -, -, -, , , 
147211, Sesame Chicken Salad, green onion, 2, , sliced, 38.34, 8.1508, 1.3774, 0.6674, , , 
147211, Sesame Chicken Salad, radish, 1/4, cup, sliced, 4.64, 0.986, 0.1972, 0.028999999999999998, , , 
147211, Sesame Chicken Salad, orange juice, 1/2, cup, , 55.8, 12.895999999999999, 0.868, 0.248, , , 
147211, Sesame Chicken Salad, rice vinegar, 1/4, cup, , -, -, -, -, , , 
147211, Sesame Chicken Salad, sesame oil, 1/2, teaspoon, toasted, 19.89, 0.0, 0.0, 2.25, , , 
147211, Sesame Chicken Salad, black pepper, 1/4, teaspoon, , 1.4432, 0.3677, 0.0597, 0.0187, , , 
147211, Sesame Chicken Salad, sesame seed, 1 1/2, teaspoons, toasted, 42.75, 1.9642, 1.3358, 3.6, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147212, V.o. Canadian Cooler, seagram whiskey, 1 1/4, 1/4, , 25.2167, 0.0, 5.61, 0.1417, , , 
147212, V.o. Canadian Cooler, mix, 1, ounce, sweet sour, 157.3397, 6.7954, 10.0924, 9.7806, , , 
147212, V.o. Canadian Cooler, orange juice, 1, ounce, , 12.7573, 2.9483, 0.1984, 0.0567, , , 
147212, V.o. Canadian Cooler, lemon lime beverage, 1, ounce, carbonated, 25.2167, 0.0, 5.61, 0.1417, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147213, Steak Salad With Buttermilk Dressing, beef sirloin, 8, ounces, boneless, 455.6, 0.0, 46.0133, 28.8093, , , 
147213, Steak Salad With Buttermilk Dressing, lettuce, 8, cups, , 57.2, 9.812000000000001, 5.94, 0.968, , , 
147213, Steak Salad With Buttermilk Dressing, basil, 1/4, cup, shredded, 1.38, 0.159, 0.18899999999999997, 0.0384, , , 
147213, Steak Salad With Buttermilk Dressing, carrot, 2, , cut, 104.96, 24.5248, 2.3808, 0.6144, , , 
147213, Steak Salad With Buttermilk Dressing, tomato, 1, cup, shaped, 41.4, 9.18, 2.16, 0.36, , , 
147213, Steak Salad With Buttermilk Dressing, red bell pepper, 1, , cut, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147214, Triple Hitter Muffins (Toddler Muffins), vegetable oil canola, 1/4, cup, , 495.04, 0.0, 0.0, 56.0, , , 
147214, Triple Hitter Muffins (Toddler Muffins), brown sugar, 1/2, cup, , 418.0, 107.899, 0.132, 0.0, , , 
147214, Triple Hitter Muffins (Toddler Muffins), egg, 1, , , 71.5, 0.36, 6.28, 4.755, , , 
147214, Triple Hitter Muffins (Toddler Muffins), applesauce, 3/4, cup, sweetened, 76.86, 20.6241, 0.3111, 0.183, , , 
147214, Triple Hitter Muffins (Toddler Muffins), carrot, 1, cup, grated, 52.48, 12.2624, 1.1904, 0.3072, , , 
147214, Triple Hitter Muffins (Toddler Muffins), zucchini, 1, cup, grated, 21.08, 3.8564, 1.5004, 0.3968, , , 
147214, Triple Hitter Muffins (Toddler Muffins), wheat flour, 1, cup, , 408.0, 86.36399999999999, 15.852, 3.0, , , 
147214, Triple Hitter Muffins (Toddler Muffins), purpose flour, 3/4, cup, , -, -, -, -, , , 
147214, Triple Hitter Muffins (Toddler Muffins), baking powder, 2, teaspoons, , 4.876, 2.5484, 0.0, 0.0, , , 
147214, Triple Hitter Muffins (Toddler Muffins), cinnamon, 1, teaspoon, , -, -, -, -, , , 
147214, Triple Hitter Muffins (Toddler Muffins), nutmeg, 1/2, teaspoon, ground, 5.775, 0.5422, 0.0642, 0.3994, , , 
147214, Triple Hitter Muffins (Toddler Muffins), salt, 1/2, teaspoon, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147216, Peas Please, cheddar cheese soup, 1, can, condensed, 312.3238, 42.5355, 2.9745, 14.5751, , , 
147216, Peas Please, sherry wine, 1/4, cup, , -, -, -, -, , , 
147216, Peas Please, baby pea, 3, cups, frozen, 357.0, 59.64, 23.4675, 4.2, , , 
147216, Peas Please, water chestnut, 1, can, sliced drained chopped, -, -, -, -, , , 
147216, Peas Please, green onion, 1/2, cup, chopped minced, 9.585, 2.0377, 0.3444, 0.1668, , , 
147216, Peas Please, bacon, 1/3, cup, crumbled, -, -, -, -, , , 
147216, Peas Please, herb stuffing mix, 1, cup, seasoned, -, -, -, -, , , 
147216, Peas Please, butter, 2, tablespoons, melted, 171.0, 7.857, 5.343, 14.4, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147215, Wild Blueberry Streusel Coffee Cake, flour, 2, cups, , 1156.56, 253.2108, 18.802, 4.4872, , , 
147215, Wild Blueberry Streusel Coffee Cake, sugar, 2/3, cup, , 537.32, 134.3973, 0.0, 0.0, , , 
147215, Wild Blueberry Streusel Coffee Cake, baking powder, 1, tablespoon, , 7.314, 3.8226, 0.0, 0.0, , , 
147215, Wild Blueberry Streusel Coffee Cake, salt, 1/2, teaspoon, , -, -, -, -, , , 
147215, Wild Blueberry Streusel Coffee Cake, nutmeg, 1, teaspoon, , 11.55, 1.0844, 0.1285, 0.7988, , , 
147215, Wild Blueberry Streusel Coffee Cake, wild blueberry, 1 1/2, 1/2, , -, -, -, -, , , 
147215, Wild Blueberry Streusel Coffee Cake, egg, 2, , , 143.0, 0.72, 12.56, 9.51, , , 
147215, Wild Blueberry Streusel Coffee Cake, milk, 1/2, cup, , 74.42, 5.8316, 3.843, 3.9894, , , 
147215, Wild Blueberry Streusel Coffee Cake, butter, 1/2, cup, melted cooled, 684.0, 31.428, 21.372, 57.6, , , 
147215, Wild Blueberry Streusel Coffee Cake, sugar, 2, tablespoons, , 537.32, 134.3973, 0.0, 0.0, , , 
147215, Wild Blueberry Streusel Coffee Cake, flour, 1/2, cup, , 1156.56, 253.2108, 18.802, 4.4872, , , 
147215, Wild Blueberry Streusel Coffee Cake, brown sugar, 1/4, cup, , 209.0, 53.9495, 0.066, 0.0, , , 
147215, Wild Blueberry Streusel Coffee Cake, cinnamon, 1, teaspoon, , -, -, -, -, , , 
147215, Wild Blueberry Streusel Coffee Cake, butter, 1/3, cup, , 684.0, 31.428, 21.372, 57.6, , , 
147215, Wild Blueberry Streusel Coffee Cake, walnut, 1/4, cup, chopped, 481.78, 0.0, 0.0, 54.5, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147217, Apricot Habanero Short Ribs, rib beef, 3, , , 3728.592, 0.0, 238.2761, 300.3286, , , 
147217, Apricot Habanero Short Ribs, onion, 1/4, cup, chopped, 16.0, 3.736, 0.44, 0.04, , , 
147217, Apricot Habanero Short Ribs, garlic, 3, cloves, smashed, 13.41, 2.9754, 0.5724, 0.045, , , 
147217, Apricot Habanero Short Ribs, cooking oil, 1, tablespoon, , -, -, -, -, , , 
147217, Apricot Habanero Short Ribs, catsup, 1/2, cup, , 121.2, 32.88, 1.248, 0.12, , , 
147217, Apricot Habanero Short Ribs, apricot preserve, 1/2, cup, , 387.2, 103.04, 1.12, 0.32, , , 
147217, Apricot Habanero Short Ribs, cider vinegar, 1/4, cup, , 12.5475, 0.5557, 0.0, 0.0, , , 
147217, Apricot Habanero Short Ribs, habaneros, 1, habaneros, seeded chopped, -, -, -, -, , , 
147217, Apricot Habanero Short Ribs, sauce, 1, tablespoon, bottled, 29.55, 0.8220000000000001, 1.5495, 2.238, , , 
147217, Apricot Habanero Short Ribs, chili powder, 1, teaspoon, , 7.614, 1.3419, 0.3634, 0.3856, , , 
147217, Apricot Habanero Short Ribs, cumin, 1/2, teaspoon, ground, 3.9375, 0.4645, 0.187, 0.2338, , , 
147217, Apricot Habanero Short Ribs, salt, 1/4, teaspoon, , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147218, Almond-Banana Milk, almond milk, 1, cup, , 91.2, 15.815999999999999, 1.008, 2.496, , , 
147218, Almond-Banana Milk, banana, 2, bananas, , -, -, -, -, , , 
147218, Almond-Banana Milk, nutmeg, 1/8, teaspoon, ground, 1.4438, 0.1355, 0.0161, 0.0999, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147219, Lemon Apricot Mascarpone Cheesecake, butter, 1/3, cup, melted, 456.0, 20.951999999999998, 14.248, 38.4, , , 
147219, Lemon Apricot Mascarpone Cheesecake, biscotti, 1 1/2, cups, , -, -, -, -, , , 
147219, Lemon Apricot Mascarpone Cheesecake, cream cheese, 1, lb, , 1338.1229999999998, 15.876, 32.2057, 129.7299, , , 
147219, Lemon Apricot Mascarpone Cheesecake, sugar, 3/4, cup, granulated, 239.85, 45.006, 7.5075, 3.7439999999999998, , , 
147219, Lemon Apricot Mascarpone Cheesecake, egg, 4, , , 286.0, 1.44, 25.12, 19.02, , , 
147219, Lemon Apricot Mascarpone Cheesecake, mascarpone, 2, cups, , -, -, -, -, , , 
147219, Lemon Apricot Mascarpone Cheesecake, purpose flour, 3, tablespoons, , -, -, -, -, , , 
147219, Lemon Apricot Mascarpone Cheesecake, vanilla, 2, teaspoons, , 24.191999999999997, 1.0626, 0.005, 0.005, , , 
147219, Lemon Apricot Mascarpone Cheesecake, lemon zest, 1, tablespoon, grated, -, -, -, -, , , 
147219, Lemon Apricot Mascarpone Cheesecake, lemon juice, 1/4, cup, , 13.42, 4.209, 0.2135, 0.1464, , , 
147219, Lemon Apricot Mascarpone Cheesecake, apricot, 3/4, cup, chopped, 55.8, 12.927, 1.6275, 0.4534, , , 
147219, Lemon Apricot Mascarpone Cheesecake, sugar, 1/4, cup, granulated, 239.85, 45.006, 7.5075, 3.7439999999999998, , , 
147219, Lemon Apricot Mascarpone Cheesecake, white wine, 1/4, cup, , -, -, -, -, , , 
147219, Lemon Apricot Mascarpone Cheesecake, water, 1/2, cup, , 0.0, 0.0, 0.0, 0.0, , , 
147219, Lemon Apricot Mascarpone Cheesecake, marmalade, 1/4, cup, , 196.8, 53.04, 0.24, 0.0, , , 
147219, Lemon Apricot Mascarpone Cheesecake, white chocolate, 3, ounces, , 458.4113, 50.3827, 4.9923, 27.2921, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147220, Leftover Ham Casserole, baking potato, 4, , , -, -, -, -, , , 
147220, Leftover Ham Casserole, butter, 3, tablespoons, , 256.5, 11.7855, 8.0145, 21.6, , , 
147220, Leftover Ham Casserole, flour, 3, tablespoons, , 108.4275, 23.7385, 1.7627, 0.4207, , , 
147220, Leftover Ham Casserole, milk, 1, cup, , 148.84, 11.6632, 7.686, 7.9788, , , 
147220, Leftover Ham Casserole, salt, 1/4, teaspoon, , -, -, -, -, , , 
147220, Leftover Ham Casserole, pepper, 1/4, teaspoon, , 1.4432, 0.3677, 0.0597, 0.0187, , , 
147220, Leftover Ham Casserole, white wine, 1/4, cup, , -, -, -, -, , , 
147220, Leftover Ham Casserole, ham, 1, lb, cooked sliced, 1111.32, 0.0, 79.0625, 85.5943, , , 
147220, Leftover Ham Casserole, onion, 1, , sliced, 60.0, 14.01, 1.65, 0.15, , , 
147220, Leftover Ham Casserole, monterey jack cheese, 1, cup, shredded, -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147221, Challah and Leek Turkey Stuffing, egg bread, 2, loaves, , -, -, -, -, , , 
147221, Challah and Leek Turkey Stuffing, beef, 1, lb, ground ground lean, 530.4012, 0.0, 104.5842, 12.1947, , , 
147221, Challah and Leek Turkey Stuffing, pork, 1, lb, ground, 1705.536, 0.0, 63.0958, 159.0775, , , 
147221, Challah and Leek Turkey Stuffing, worcestershire sauce, 2, tablespoons, , 26.52, 6.6164, 0.0, 0.0, , , 
147221, Challah and Leek Turkey Stuffing, onion, 1, cup, diced, 64.0, 14.944, 1.76, 0.16, , , 
147221, Challah and Leek Turkey Stuffing, leek, 3, cups, sliced, 162.87, 37.7805, 4.005, 0.8009999999999999, , , 
147221, Challah and Leek Turkey Stuffing, celery, 2, cups, diced, 32.32, 5.9994, 1.3938, 0.3434, , , 
147221, Challah and Leek Turkey Stuffing, carrot, 1, cup, diced, 52.48, 12.2624, 1.1904, 0.3072, , , 
147221, Challah and Leek Turkey Stuffing, sage, 1 1/2, 1/2, ground, -, -, -, -, , , 
147221, Challah and Leek Turkey Stuffing, salt pepper, , , , -, -, -, -, , , 
id, name, Ingredient Name, Quantity, Unit, State, Energy (kcal), Carbohydrates, Protein (g), Total Lipid (Fat) (g), 
147222, Sharp Old Cheddar Scones With Smoked Salmon, purpose flour, 1, cup, , -, -, -, -, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, wheat flour, 1, cup, , 408.0, 86.36399999999999, 15.852, 3.0, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, baking powder, 3/4, tablespoon, , 5.4855, 2.867, 0.0, 0.0, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, salt, 1/2, teaspoon, , -, -, -, -, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, pepper, 1/2, teaspoon, ground, 2.8865, 0.7354, 0.1195, 0.0375, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, rosemary, 1, teaspoon, chopped, 0.917, 0.1449, 0.0232, 0.040999999999999995, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, butter, 1/2, cup, , 684.0, 31.428, 21.372, 57.6, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, sharp cheddar cheese, 1/3, cup, shredded, -, -, -, -, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, buttermilk, 3/4, cup, , -, -, -, -, , , 
147222, Sharp Old Cheddar Scones With Smoked Salmon, cream, 4, tablespoons, sour, 95.04, 2.2224, 1.1712, 9.288, , , 
